batch,x,y,z,brand,model,angle,sampleNumber,date,c4:41:1e:fa:07:db#1_value,c4:41:1e:fa:07:db#1_error,c4:41:1e:fa:07:db#1_samples_averaged,c4:41:1e:fa:07:da#1_value,c4:41:1e:fa:07:da#1_error,c4:41:1e:fa:07:da#1_samples_averaged,c4:41:1e:fa:07:d9#1_value,c4:41:1e:fa:07:d9#1_error,c4:41:1e:fa:07:d9#1_samples_averaged,cc:f4:11:47:ef:eb#1_value,cc:f4:11:47:ef:eb#1_error,cc:f4:11:47:ef:eb#1_samples_averaged,cc:f4:11:47:ef:e7#1_value,cc:f4:11:47:ef:e7#1_error,cc:f4:11:47:ef:e7#1_samples_averaged
5840,0.0,5.0,0.0,Xiaomi,M2007J3SY,2.0,78,378030209593,-100.0,,0,9.116,0.0,1,76.759,0.0,1,72.472,0.0,1,8.332,0.0,1
5840,0.0,5.0,0.0,Xiaomi,M2007J3SY,2.0,79,378439237249,-100.0,,0,7.813,0.0,1,-100.0,,0,73.878,0.0,1,9.807,0.0,1
5840,0.0,5.0,0.0,Xiaomi,M2007J3SY,2.0,80,378809730583,-100.0,,0,8.49,0.0,1,-100.0,,0,74.23,0.0,1,8.342,0.0,1
5840,0.0,5.0,0.0,Xiaomi,M2007J3SY,2.0,81,379179502041,-100.0,,0,7.92,0.0,1,-100.0,,0,-100.0,,0,8.01,0.0,1
5840,0.0,5.0,0.0,Xiaomi,M2007J3SY,2.0,82,379545928707,-100.0,,0,6.937,0.0,1,-100.0,,0,-100.0,,0,8.635,0.0,1
5840,0.0,5.0,0.0,Xiaomi,M2007J3SY,2.0,83,379883298707,-100.0,,0,7.52,0.0,1,-100.0,,0,76.691,0.0,1,8.371,0.0,1
5840,0.0,5.0,0.0,Xiaomi,M2007J3SY,2.0,84,380253716311,-100.0,,0,8.066,0.0,1,-100.0,,0,-100.0,,0,7.58,0.0,1
5840,0.0,5.0,0.0,Xiaomi,M2007J3SY,2.0,85,380645483707,-100.0,,0,6.718,0.0,1,-100.0,,0,-100.0,,0,9.211,0.0,1
5840,0.0,5.0,0.0,Xiaomi,M2007J3SY,2.0,86,380993932769,-100.0,,0,6.841,0.0,1,76.427,0.0,1,74.113,0.0,1,8.684,0.0,1
5840,0.0,5.0,0.0,Xiaomi,M2007J3SY,2.0,87,381397182821,-100.0,,0,8.243,0.0,1,77.463,0.0,1,-100.0,,0,9.387,0.0,1
5840,0.0,5.0,0.0,Xiaomi,M2007J3SY,2.0,88,381793460425,-100.0,,0,6.601,0.0,1,-100.0,,0,74.113,0.0,1,8.098,0.0,1
5840,0.0,5.0,0.0,Xiaomi,M2007J3SY,2.0,89,382160553029,-100.0,,0,6.694,0.0,1,77.463,0.0,1,-100.0,,0,8.547,0.0,1
5840,0.0,5.0,0.0,Xiaomi,M2007J3SY,2.0,90,382488144383,-100.0,,0,8.222,0.0,1,75.723,0.0,1,74.464,0.0,1,8.195,0.0,1
5840,0.0,5.0,0.0,Xiaomi,M2007J3SY,2.0,91,382847813758,-100.0,,0,9.692,0.0,1,-100.0,,0,-100.0,,0,8.381,0.0,1
5840,0.0,5.0,0.0,Xiaomi,M2007J3SY,2.0,92,383180183081,-100.0,,0,7.461,0.0,1,-100.0,,0,-100.0,,0,8.342,0.0,1
5840,0.0,5.0,0.0,Xiaomi,M2007J3SY,2.0,93,383542376935,-100.0,,0,7.924,0.0,1,-100.0,,0,75.402,0.0,1,8.596,0.0,1
5840,0.0,5.0,0.0,Xiaomi,M2007J3SY,2.0,94,383906518549,-100.0,,0,6.601,0.0,1,-100.0,,0,73.527,0.0,1,9.445,0.0,1
5840,0.0,5.0,0.0,Xiaomi,M2007J3SY,2.0,95,384282123289,-100.0,,0,7.725,0.0,1,-100.0,,0,-100.0,,0,7.863,0.0,1
5840,0.0,5.0,0.0,Xiaomi,M2007J3SY,2.0,96,384665764070,-100.0,,0,7.071,0.0,1,-100.0,,0,73.41,0.0,1,9.416,0.0,1
5840,0.0,5.0,0.0,Xiaomi,M2007J3SY,2.0,97,385066046986,-100.0,,0,46.41,0.0,1,-100.0,,0,-100.0,,0,8.986,0.0,1
5840,0.0,5.0,0.0,Xiaomi,M2007J3SY,2.0,98,385412578549,-100.0,,0,7.016,0.0,1,-100.0,,0,-100.0,,0,8.137,0.0,1
5840,0.0,5.0,0.0,Xiaomi,M2007J3SY,2.0,99,385770496517,-100.0,,0,8.012,0.0,1,-100.0,,0,74.464,0.0,1,9.299,0.0,1
5840,0.0,5.0,0.0,Xiaomi,M2007J3SY,2.0,100,386152240267,-100.0,,0,6.543,0.0,1,-100.0,,0,-100.0,,0,8.752,0.0,1
5840,0.0,5.0,0.0,Xiaomi,M2007J3SY,2.0,101,386513002767,-100.0,,0,6.42,0.0,1,-100.0,,0,-100.0,,0,8.625,0.0,1
5840,0.0,5.0,0.0,Xiaomi,M2007J3SY,2.0,102,386883494329,-100.0,,0,8.222,0.0,1,-100.0,,0,-100.0,,0,7.287,0.0,1
5840,0.0,5.0,0.0,Xiaomi,M2007J3SY,2.0,103,387232230319,-100.0,,0,6.45,0.0,1,-100.0,,0,73.527,0.0,1,8.684,0.0,1
5840,0.0,5.0,0.0,Xiaomi,M2007J3SY,2.0,104,387607588392,-100.0,,0,8.491,0.0,1,77.931,0.0,1,73.527,0.0,1,8.166,0.0,1
5840,0.0,5.0,0.0,Xiaomi,M2007J3SY,2.0,105,388017525787,-100.0,,0,6.601,0.0,1,74.416,0.0,1,-100.0,,0,8.537,0.0,1
5840,0.0,5.0,0.0,Xiaomi,M2007J3SY,2.0,106,388374954954,-100.0,,0,45.823,0.0,1,76.075,0.0,1,73.527,0.0,1,9.631,0.0,1
